Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000040000000 CH2:0.0000040000000,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.04090800136,0.00,0.00
Vertical Scale,CH1:2.00 CH2:2.00,,-0.04090400040,0.00,0.00
Vertical Offset,CH1:0.00 CH2:0.00,,-0.04089999944,0.00,0.00
Horizontal Units,s,,-0.04089599848,0.00,-0.08000
Horizontal Scale,0.0024999999,,-0.04089200124,-0.08000,0.00
Model Number,SDS1102CML+,,-0.04088800028,0.00,0.00
Serial Number,SDS1MEBX2R2171,,-0.04088399932,0.00,0.00
Software Version,6.01.01.20,,-0.04087999836,0.00,0.00
,,,-0.04087600112,0.00,0.00
,,,-0.04087200016,0.00,0.00
,,,-0.04086799920,0.00,0.00
,,,-0.04086399823,0.00,0.00
,,,-0.04086000100,0.00,0.08000
,,,-0.04085600004,-0.08000,0.00
,,,-0.04085199907,0.00,0.00
,,,-0.04084799811,0.00,0.00
,,,-0.04084400088,-0.08000,0.00
,,,-0.04083999991,0.00,0.00
,,,-0.04083599895,0.00,0.00
,,,-0.04083200172,-0.08000,0.00
,,,-0.04082800075,0.00,0.00
,,,-0.04082399979,0.00,0.00
,,,-0.04081999883,0.00,0.00
,,,-0.04081600159,0.00,0.00
,,,-0.04081200063,0.00,0.00
,,,-0.04080799967,0.00,0.00
,,,-0.04080399871,0.00,0.00
,,,-0.04080000147,0.00,0.00
,,,-0.04079600051,0.00,0.00
,,,-0.04079199955,0.00,0.00
,,,-0.04078799859,-0.08000,0.00
,,,-0.04078400135,0.00,0.00
,,,-0.04078000039,0.00,0.00
,,,-0.04077599943,0.00,0.00
,,,-0.04077199847,0.00,0.00
,,,-0.04076800123,0.00,0.00
,,,-0.04076400027,0.00,0.00
,,,-0.04075999931,0.00,0.00
,,,-0.04075599834,0.00,0.00
,,,-0.04075200111,0.00,0.00
,,,-0.04074800014,0.00,0.00
,,,-0.04074399918,0.00,0.00
,,,-0.04073999822,0.00,0.00
,,,-0.04073600098,0.00,0.00
,,,-0.04073200002,0.00,0.00
,,,-0.04072799906,-0.08000,0.00
,,,-0.04072399810,0.00,0.00
,,,-0.04072000086,0.00,0.00
,,,-0.04071599990,0.00,0.00
,,,-0.04071199894,0.00,0.00
,,,-0.04070800170,0.00,0.00
,,,-0.04070400074,0.00,0.00
,,,-0.04069999978,0.00,0.00
,,,-0.04069599882,0.00,0.00
,,,-0.04069200158,0.00,0.00
,,,-0.04068800062,0.00,0.00
,,,-0.04068399966,0.00,0.00
,,,-0.04067999870,-0.08000,0.00
,,,-0.04067600146,0.00,0.00
,,,-0.04067200050,0.00,0.08000
,,,-0.04066799954,0.00,0.00
,,,-0.04066399857,0.00,0.00
,,,-0.04066000134,0.00,0.00
,,,-0.04065600038,0.00,0.00
,,,-0.04065199941,0.00,0.00
,,,-0.04064799845,0.00,0.00
,,,-0.04064400122,0.00,0.00
,,,-0.04064000025,0.00,0.00
,,,-0.04063599929,0.00,0.00
,,,-0.04063199833,0.00,0.00
,,,-0.04062800109,-0.08000,0.00
,,,-0.04062400013,0.00,-0.08000
,,,-0.04061999917,0.00,0.00
,,,-0.04061599821,0.00,0.00
,,,-0.04061200097,0.00,0.00
,,,-0.04060800001,0.00,0.00
,,,-0.04060399905,0.00,-0.08000
,,,-0.04059999809,0.00,0.00
,,,-0.04059600085,0.00,0.00
,,,-0.04059199989,0.00,0.00
,,,-0.04058799893,0.00,0.00
,,,-0.04058400169,0.00,0.00
,,,-0.04058000073,0.00,0.00
,,,-0.04057599977,0.00,0.00
,,,-0.04057199880,0.00,0.00
,,,-0.04056800157,-0.08000,0.00
,,,-0.04056400061,0.00,0.00
,,,-0.04055999964,0.00,0.00
,,,-0.04055599868,0.00,0.00
,,,-0.04055200145,0.00,0.00
,,,-0.04054800048,0.00,0.00
,,,-0.04054399952,0.00,0.00
,,,-0.04053999856,0.00,-0.08000
