Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C203, C204",0805,3,10uF,C440198
"C202, C308, C401, C402",0402,4,10nF,C15195
C301,0603,1,4.7uF,C19666
"C302, C303, C304, C305, C307, C312",0402,6,100nF,C1525
C306,0402,1,1uF,C52923
"C309, C310",0402,2,2.2uF,C12530
"C311, C314",0402,2,12pF,C1547
C313,0603,1,10uF,C96446
C403,0603,1,220nF,C21120
C404,0402,1,22nF,C1532
C405,0603,1,470nF,C1623
C406,CP_Elec_6.3x7.7,1,100uF,C72478
CON301,PinHeader_2x05_P2.54mm_Vertical,1,GPIO,
CON302,CON-TAG-CONNECT_TC2050-IDC,1,TC2050-FP,
"CON303, CON305",PinHeader_1x04_P2.54mm_Vertical,2,I2C,
CON306,PinHeader_2x04_P2.54mm_Vertical,1,NRF24,
CON307,CON-GEN-USB_C-16P,1,G Switch GT USB 7010H,C2988369
"D201, D401",D_SOD-323,2,1N5819WS,C191023
D202,D_SOD-123,1,B5819W,C8598
D203,0603,1,GREEN,C965804
D301,0603,1,BLUE,C965807
D302,SOT-23-6,1,USBLC6-2,C7519
IC201,SOT-23-6,1,MP2359,C2959845
IC301,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742
IC401,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP3.4x9.5mm_ThermalVias,1,DRV8424P,C2864825
J201,TerminalBlock_MetzConnect_Type101_RT01602HBWC_1x02_P5.08mm_Horizontal,1,Power IN,
J401,TerminalBlock_MetzConnect_Type101_RT01602HBWC_1x02_P5.08mm_Horizontal,1,MOT_A,
J402,TerminalBlock_MetzConnect_Type101_RT01602HBWC_1x02_P5.08mm_Horizontal,1,MOT_B,
L201,0603,1,FB-BLM18PG121SN1,C14709
L202,L_SXN_SMNR4020,1,10uH,    C135263
L301,0402,1,39nH,C26443
R201,0402,1,100k,C25741
R202,0603,1,68k,C23231
"R203, R205, R402",0402,3,47k,C25792
R204,0402,1,15k,C25756
"R206, R303, R304, R403, R404, R406",0402,6,10k,C25744
"R301, R302",0402,2,4k7,C25900
R305,0402,1,47,C25118
"SW301, SW302",SW-PUSH-DPST-XKS-TS-1187A,2,SW-GEN-TS-1187A,C318884
T201,DFN-8-1EP_3x3mm_P0.65mm_EP1.6x2.56mm_ThermalVias,1,FH1304G6,C5159042
T402,SOT-23,1,BC847C,C8664
X301,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C12668
