Designator,Mid X,Mid Y,Rotation,Layer
C201,114.7,-81.75,180.0,top
C202,117.305,-73.0,0.0,top
C203,123.055,-74.0,90.0,top
C204,123.055,-77.5,270.0,top
C301,100.5,-58.25,180.0,top
C302,101.0,-59.5,180.0,top
C303,112.55,-60.775,0.0,top
C304,111.5,-71.5,0.0,top
C305,103.29,-73.2,180.0,top
C306,97.0,-67.5,90.0,top
C307,99.0,-60.5,180.0,top
C308,98.0,-67.5,90.0,top
C309,114.0,-61.25,90.0,top
C310,110.75,-72.75,0.0,top
C311,95.175,-62.98,90.0,top
C312,92.625,-66.5,180.0,top
C313,98.94,-46.4,90.0,top
C314,95.175,-64.855,270.0,top
C401,133.030419,-58.75,90.0,top
C402,133.280419,-66.25,90.0,top
C403,132.530419,-68.75,180.0,top
C404,124.530419,-67.0,90.0,top
C405,126.780419,-56.75,0.0,top
C406,129.700419,-73.77,0.0,top
CON301,102.43,-81.26,0.0,top
CON302,116.485,-49.44,270.0,top
CON303,109.0,-82.57,0.0,top
CON305,94.19,-54.25,270.0,top
CON306,105.44,-46.23,90.0,top
CON307,127.17,-45.97,180.0,top
D201,114.8,-83.77,180.0,top
D202,118.805,-79.25,0.0,top
D203,120.3425,-72.5,0.0,top
D301,95.1875,-60.325,0.0,top
D302,127.2,-53.05,270.0,top
D401,120.3,-69.4,0.0,top
FID101,136.325,-78.15,0.0,top
FID102,134.0,-51.0,0.0,top
FID103,90.25,-77.75,0.0,top
FID104,98.5,-50.5,0.0,top
IC201,115.805,-75.81,90.0,top
IC301,106.3,-65.48,270.0,top
IC401,128.810419,-62.8,90.0,top
J201,128.23,-83.7325,180.0,top
J401,139.5,-71.29,270.0,top
J402,139.5,-60.04,270.0,top
L201,118.0,-81.3,180.0,top
L202,119.805,-75.75,0.0,top
L301,96.0,-67.5,270.0,top
PCB101,91.5,-58.35,0.0,top
PCB102,95.3,-77.625,0.0,top
PCB103,133.5,-45.5,0.0,top
PCB104,134.7,-79.75,0.0,top
R201,115.295,-78.5,180.0,top
R202,113.5,-78.4,90.0,top
R203,115.265,-72.0,180.0,top
R204,115.265,-73.0,0.0,top
R205,128.14,-68.55,0.0,top
R206,120.055,-71.0,0.0,top
R301,93.45,-56.625,180.0,top
R302,95.975,-56.6,180.0,top
R303,103.49,-57.625,0.0,top
R304,92.5675,-60.335,180.0,top
R305,96.675,-64.38,180.0,top
R402,126.14,-68.55,0.0,top
R403,124.030419,-57.5,270.0,top
R404,119.115,-62.475,0.0,top
R406,119.125,-60.394581,0.0,top
SW301,106.0,-54.125,180.0,top
SW302,91.125,-71.0,270.0,top
T201,120.325,-84.875,90.0,top
T402,124.1375,-69.7,180.0,top
TP201,113.555,-86.0,270.0,top
TP203,116.95,-86.0,270.0,top
X301,92.675,-63.475,270.0,top
